method,id,lat,lon
p-median,1,41.752383328811725,-87.72775584136129
p-median,2,41.75219547568742,-87.63201402962217
p-median,3,41.91426556348221,-87.71674888862283
p-median,4,41.93156990287663,-87.70722811976599
p-median,5,41.97697251574764,-87.65744766373788
p-median,6,41.778764562117914,-87.6915533281149
p-median,7,41.8785730870809,-87.72824199186613
p-median,8,41.68972059714646,-87.63101017317207
p-median,9,41.76993255349497,-87.57182281361295
p-median,10,41.80732818261286,-87.61975122733682
p-median,11,41.95002376537996,-87.77863281203099
p-median,12,41.94112680436523,-87.64701823990227
p-median,13,41.7252164507438,-87.57159882186694
p-median,14,41.75264176511637,-87.64498178299486
p-median,15,41.88646226911023,-87.7653468975412
p-median,16,41.86068062697527,-87.70713055291847
p-median,17,41.79760347320964,-87.73961291219315
p-median,18,41.77882387650729,-87.64461483377514
p-median,19,41.78021566460381,-87.60818445579727
p-median,20,41.887426188480205,-87.6305146568518
p-median,21,41.96799319343922,-87.71779685237915
p-median,22,41.79654130710942,-87.6673945205063
p-median,23,41.85324859849179,-87.62304014603313
p-median,24,41.92247925268448,-87.69406361613737
p-median,25,41.97722598128983,-87.83984853906883
p-median,26,41.70798065251555,-87.64386437426539
p-median,27,41.65563237869753,-87.60526870450794
p-median,28,41.89571455576606,-87.71738815589806
p-median,29,41.92271069919395,-87.76605277360115
p-median,30,41.74304888328845,-87.70423837088171
p-median,31,41.81520600528103,-87.6933122558009
p-median,32,41.904988175386045,-87.632705517233
p-median,33,41.87888113156872,-87.68192570435048
p-median,34,41.87894186632485,-87.75295433898975
p-median,35,41.83275579175853,-87.61849013291784
p-median,36,41.77857747622725,-87.66693629287136
p-median,37,41.799158320164594,-87.59437682073896
p-median,38,41.744731435963764,-87.60479244499956
p-median,39,41.69034803977339,-87.66679767039332
p-median,40,41.7533950091289,-87.56058887686804
p-median,41,41.85090456944814,-87.70495538599913
p-median,42,41.86809178910585,-87.65804153136384
p-median,43,41.96762089205945,-87.65731169774438
p-median,44,41.931902456210075,-87.68190211540113
p-median,45,41.968847238820466,-87.76517462421931
p-median,46,41.70038758037919,-87.53546718914382
p-median,47,41.87029562772949,-87.6299732949671
p-median,48,41.976682080930644,-87.90354038139965
p-median,49,41.70736684977064,-87.61939463909926
p-median,50,41.932991133999025,-87.72881263811148
p-median,51,41.788968030425465,-87.77776794149239
p-median,52,41.76988458385621,-87.6201751420092
p-median,53,41.79637616276651,-87.70382521192941
p-median,54,41.879214619471114,-87.70491001102461
p-median,55,41.734797299540645,-87.65518995396212
p-median,56,41.923234241729176,-87.78854886585205
p-median,57,41.67257129552263,-87.63084943756309
p-median,58,41.91244891244732,-87.7428233379845
p-median,59,41.99584153413713,-87.69384500026467
p-median,60,41.65405947143992,-87.54683349474347
p-median,61,42.01372156553959,-87.67045897433313
p-median,62,41.924043667739845,-87.64423870411089
p-median,63,41.762805857534715,-87.69105573354025
p-median,64,41.726321227185935,-87.60646410748203
p-median,65,41.95917661498391,-87.68103348826207
p-median,66,41.85303559713746,-87.66979520784658
p-median,67,41.77909291210723,-87.70287333259937
p-median,68,41.98472766885611,-87.78995447846461
p-median,69,41.80679046026965,-87.66784276147344
p-median,70,41.895485034750415,-87.62287872903778
p-median,71,41.90525686049532,-87.66938814428312
p-median,72,41.99476148396258,-87.65882404846458
p-median,73,41.86894202553928,-87.71777957647218
p-median,74,41.7962360846038,-87.64517461464374
p-median,75,41.9407533998125,-87.75362278944857
p-median,76,41.76112468612463,-87.60873975339614
p-median,77,41.816236998325365,-87.63149299163108
p-median,78,41.806097477880314,-87.72707382543535
p-median,79,41.8150492145808,-87.60706999352158
p-median,80,41.75301682343608,-87.58338542373717
p-median,81,41.83442033565123,-87.64507305078394
p-median,82,41.72476511420222,-87.63044649206233
p-median,83,41.90487830135501,-87.69328782296341
p-median,84,41.9057030098011,-87.7653530011964
p-median,85,41.78873077478551,-87.62062818014556
p-median,86,41.95011960987644,-87.70610699796103
p-median,87,41.84234255075992,-87.72783839788745
p-median,88,41.69834084970851,-87.70149286671251
p-median,89,41.735008510377234,-87.5481588256353
p-median,90,41.770063214166676,-87.64429564309908
p-median,91,41.90439283278756,-87.72895711708699
p-median,92,41.87920660413168,-87.63009943228747
p-median,93,41.691109456269984,-87.60851043890857
p-median,94,41.706988997508894,-87.56142099160584
p-median,95,41.88647458298079,-87.65588534308621
p-median,96,41.89589517199181,-87.75376883724283
p-median,97,41.77927391401375,-87.72748678996021
p-median,98,41.949106661767274,-87.65618346086667
p-median,99,41.85167853971622,-87.64529695442855
p-median,100,41.75161389904591,-87.66640590582615
p-median,101,41.97724861584806,-87.69415717671308
p-median,102,41.762305940871585,-87.66741055024946
p-median,103,41.723810869729945,-87.66398502655005
p-median,104,41.831559263676226,-87.68051561871617
p-median,105,41.870016191118516,-87.69474658443686
p-median,106,41.7357834780413,-87.62883118254062
p-median,107,41.95915868793489,-87.74443540504664
p-median,108,41.89545297530616,-87.63150650573355
p-median,109,41.86010533043172,-87.72830586367843
p-median,110,41.73491845735766,-87.58421714124053
p-median,111,41.77083408446488,-87.58450236698262
p-median,112,41.94059251002481,-87.81389031523722
mclp,1,41.976682080930644,-87.90354038139965
mclp,2,41.984557380265464,-87.89634710191594
mclp,3,41.99231757888924,-87.89596607504295
mclp,4,42.00169546459587,-87.8953494253691
mclp,5,41.959548976561635,-87.88654269051496
mclp,6,41.964183511562936,-87.88248002853192
mclp,7,41.97506732568549,-87.89027841192012
mclp,8,41.973228143699686,-87.86562614481068
mclp,9,41.94141300752224,-87.82628661581717
mclp,10,41.77376161278618,-87.79700860676024
mclp,11,41.994000236061666,-87.80271075836612
mclp,12,41.90502486114306,-87.77410432782766
mclp,13,41.778322189446655,-87.76443004392605
mclp,14,41.92271069919395,-87.76605277360115
mclp,15,41.959153473987165,-87.76587575559014
mclp,16,41.968847238820466,-87.76517462421931
mclp,17,41.976459860294035,-87.76719109701058
mclp,18,41.98419448189279,-87.7686070246741
mclp,19,41.99696217435402,-87.76433069055582
mclp,20,42.00360144777801,-87.76545237597352
mclp,21,42.009397658999994,-87.772372962
mclp,22,41.776506821107105,-87.75368175666063
mclp,23,41.80646135766475,-87.74941904065304
mclp,24,41.811605648660496,-87.7491361179181
mclp,25,41.87144533686785,-87.75298512847601
mclp,26,41.87894186632485,-87.75295433898975
mclp,27,41.88652650944309,-87.75276561666772
mclp,28,41.89589517199181,-87.75376883724283
mclp,29,41.9043706920974,-87.75411079829765
mclp,30,41.91219722904417,-87.75338526688478
mclp,31,41.92303071719942,-87.7543961933783
mclp,32,41.93190903684066,-87.75452227497397
mclp,33,41.9407533998125,-87.75362278944857
mclp,34,41.95005131369382,-87.75395173609304
mclp,35,41.95903196351534,-87.75378118093224
mclp,36,41.97595232038899,-87.75399222775991
mclp,37,41.98829249821083,-87.75271184247782
mclp,38,41.99396673734964,-87.7542079676577
mclp,39,41.73607584910459,-87.73818647827868
mclp,40,41.74321509193491,-87.7375200566851
mclp,41,41.752934902897536,-87.74075698288995
mclp,42,41.75908604861825,-87.74127674374323
mclp,43,41.77189466621402,-87.73892984301685
mclp,44,41.77865270532521,-87.73982563755489
mclp,45,41.78827346995447,-87.73976993324176
mclp,46,41.79760347320964,-87.73961291219315
mclp,47,41.80557726653536,-87.74225778289616
mclp,48,41.81290339275239,-87.7423487029638
mclp,49,41.82029964153508,-87.74349628250629
mclp,50,41.83680168584291,-87.73655292557224
mclp,51,41.839389452507106,-87.73536222386052
mclp,52,41.850970853617426,-87.73641896125905
mclp,53,41.86008888301925,-87.73627870024886
mclp,54,41.87066511398141,-87.74207850958734
mclp,55,41.87808375207029,-87.74118366121344
mclp,56,41.885716613538136,-87.74309235784858
